timestamp,human_readable_date,humidity,soil,tempf,voltage
1556731807694,2019-05-01 13:30:07-04:00,-5.0,2639.0,-5.0,4.205633
1556731741454,2019-05-01 13:29:01-04:00,-5.0,2639.0,-5.0,4.215734
1556731675521,2019-05-01 13:27:55-04:00,-5.0,2653.0,-5.0,4.203388
1556731609481,2019-05-01 13:26:49-04:00,-5.0,2634.0,-5.0,4.212367
1556731543450,2019-05-01 13:25:43-04:00,-5.0,2644.0,-5.0,4.198898
1556731477444,2019-05-01 13:24:37-04:00,-5.0,2641.0,-5.0,4.214612
1556731411388,2019-05-01 13:23:31-04:00,-5.0,2645.0,-5.0,4.21349
1556731345527,2019-05-01 13:22:25-04:00,-5.0,2643.0,-5.0,4.211245
1556731280650,2019-05-01 13:21:20-04:00,-5.0,2645.0,-5.0,4.211245
1556731213470,2019-05-01 13:20:13-04:00,-5.0,2646.0,-5.0,4.201143
1556731147333,2019-05-01 13:19:07-04:00,-5.0,2644.0,-5.0,4.210123
1556731081926,2019-05-01 13:18:01-04:00,-5.0,2650.0,-5.0,4.206755
1556731015401,2019-05-01 13:16:55-04:00,-5.0,2660.0,-5.0,4.222469
1556730949340,2019-05-01 13:15:49-04:00,-5.0,2637.0,-5.0,4.197776
1556730883418,2019-05-01 13:14:43-04:00,-5.0,2655.0,-5.0,4.220224
1556730817486,2019-05-01 13:13:37-04:00,-5.0,2655.0,-5.0,4.210123
1556730751425,2019-05-01 13:12:31-04:00,-5.0,2643.0,-5.0,4.203388
1556730685332,2019-05-01 13:11:25-04:00,-5.0,2647.0,-5.0,4.206755
1556730619344,2019-05-01 13:10:19-04:00,-5.0,2656.0,-5.0,4.198898
1556730553510,2019-05-01 13:09:13-04:00,-5.0,2644.0,-5.0,4.205633
1556730487521,2019-05-01 13:08:07-04:00,-5.0,2640.0,-5.0,4.207878
1556730421357,2019-05-01 13:07:01-04:00,-5.0,2639.0,-5.0,4.221346
1556730355423,2019-05-01 13:05:55-04:00,-5.0,2648.0,-5.0,4.216857
1556730289696,2019-05-01 13:04:49-04:00,-5.0,2644.0,-5.0,4.219101
1556730223462,2019-05-01 13:03:43-04:00,-5.0,2641.0,-5.0,4.206755
1556730157382,2019-05-01 13:02:37-04:00,-5.0,2631.0,-5.0,4.214612
1556730091282,2019-05-01 13:01:31-04:00,-5.0,2639.0,-5.0,4.209
1556730025314,2019-05-01 13:00:25-04:00,-5.0,2655.0,-5.0,4.212367
1556729959291,2019-05-01 12:59:19-04:00,-5.0,2652.0,-5.0,4.206755
1556729893349,2019-05-01 12:58:13-04:00,-5.0,2636.0,-5.0,4.205633
1556729827333,2019-05-01 12:57:07-04:00,-5.0,2649.0,-5.0,4.211245
