observation,soil
1242,2439
1243,2434
1244,2447
1245,2432
1246,2436
1247,2438
1248,2444
1249,2451
1250,2444
1251,2438
1252,2451
1253,2442
1254,2449
1255,2444
1256,2439
1257,2441
1258,2445
1259,2437
1260,2437
1261,2440
1262,2420
1263,2446
1264,2443
1265,2431
1266,2438
1267,2439
1268,2437
1269,2439
1270,2443
1271,2438
1272,2447
1273,2442
1274,2431
1275,2428
1276,2428
1277,2424
1278,2427
1279,2435
1280,2434
1281,2421
1282,2430
1283,2435
1284,2436
1285,2435
1286,2438
1287,2431
1288,2436
1289,2425
1290,2427
1291,2429
1292,2430
1293,2426
1294,2433
1295,2429
1296,2431
1297,2425
1298,2424
1299,2436
1300,2426
1301,2423
1302,2428
1303,2419
1304,2415
1305,2424
1306,2419
1307,2415
1308,2414
1309,2424
1310,2425
1311,2424
1312,2421
1313,2423
1314,2428
1315,2423
1316,2419
1317,2418
1318,2422
1319,2421
1320,2424
1321,2432
1322,2417
1323,2426
1324,2415
1325,2419
1326,2425
1327,2415
1328,2420
1329,2424
1330,2419
1331,2425
1332,2415
1333,2423
1334,2417
1335,2411
1336,2436
1337,2411
1338,2417
1339,2419
1340,2418
1341,2426
1342,2409
1343,2418
1344,2396
1345,2404
1346,2404
1347,2402
1348,2432
1349,2419
1350,2405
1351,2413
1352,2407
1353,2407
1354,2404
1355,2408
1356,2412
1357,2396
1358,2413
1359,2401
1360,2405
1361,2417
1362,2404
1363,2421
1364,2405
1365,2400
1366,2409
1367,2400
1368,2419
1369,2407
1370,2407
1371,2412
1372,2409
1373,2407
1374,2410
1375,2412
1376,2407
1377,2413
1378,2416
1379,2397
1380,2411
1381,2409
1382,2413
1383,2408
1384,2404
1385,2394
1386,2403
1387,2400
1388,2408
1389,2398
1390,2391
1391,2407
1392,2405
1393,2395
1394,2397
1395,2413
1396,2402
1397,2401
1398,2391
1399,2409
1400,2391
1401,2403
1402,2402
1403,2394
1404,2393
1405,2405
1406,2403
1407,2384
1408,2401
1409,2398
1410,2400
1411,2400
1412,2405
1413,2401
1414,2395
1415,2403
1416,2397
1417,2395
1418,2404
1419,2400
1420,2388
1421,2393
1422,2383
1423,2385
1424,2399
1425,2384
1426,2381
1427,2407
1428,2395
1429,2389
1430,2401
1431,2392
1432,2403
1433,2397
1434,2383
1435,2392
1436,2387
1437,2392
1438,2400
1439,2381
1440,2391
1441,2383
1442,2397
1443,2396
1444,2400
1445,2377
1446,2380
1447,2395
1448,2385
1449,2394
1450,2406
1451,2399
1452,2395
1453,2400
1454,2392
1455,2392
1456,2395
1457,2391
1458,2399
1459,2389
1460,2390
1461,2372
1462,2389
1463,2387
1464,2399
1465,2389
1466,2385
1467,2398
1468,2396
1469,2389
1470,2387
1471,2383
1472,2400
1473,2378
1474,2401
1475,2383
1476,2382
1477,2384
1478,2389
1479,2382
1480,2384
1481,2390
1482,2381
1483,2388
1484,2373
1485,2396
1486,2392
1487,2385
1488,2383
1489,2391
1490,2379
1491,2376
1492,2370
1493,2388
1494,2390
1495,2383
1496,2385
1497,2389
1498,2387
1499,2388
1500,2387
1501,2388
1502,2374
1503,2387
1504,2384
1505,2385
1506,2384
1507,2375
1508,2396
1509,2383
1510,2392
1511,2396
1512,2387
1513,2391
1514,2383
1515,2385
1516,2379
1517,2390
1518,2392
1519,2388
1520,2393
